TIGER OUTPUT ADDRESS,City,State,Zip,LON,LAT
5908 GROVELINE DR, ORLANDO, FL,32810,-81.4741711,28.61620024
6408 JENNINGS RD, ORLANDO, FL,32818,-81.46867879,28.56622536
1411 MELANIE DR, ORLANDO, FL,32825,-81.25757734,28.56430554
220 HORATIO AVE W, MAITLAND, FL,32751,-81.36702064,28.62739939
7500 FOREST CITY RD, ORLANDO, FL,32810,-81.41517741,28.62465199
6145 SILVER STAR RD, ORLANDO, FL,32808,-81.46605604,28.57789173
11333 LAKE UNDERHILL RD, ORLANDO, FL,32825,-81.22145921,28.54501987
221 E KENNEDY BLVD, MAITLAND, FL,32751,-81.3826301,28.61832104
7563 FOREST CITY RD, ORLANDO, FL,32810,-81.4148535,28.62530157
1211 CITY PARK AVE, ORLANDO, FL,32808,-81.42985714,28.55730686
9307 CURRY FORD RD, ORLANDO, FL,32825,-81.25287077,28.51014069
230 S COLLEGE AVE, MAITLAND, FL,32751,-81.38148262,28.61571191
5029 EDGEWATER DR, ORLANDO, FL,32810,-81.40850551,28.60492578
1434 N PINE HILLS RD, ORLANDO, FL,32808,-81.45170634,28.57561582
9580 CURRY FORD RD, ORLANDO, FL,32825,-81.24936576,28.51002937
6209 ALL AMERICAN BLVD, ORLANDO, FL,32810,-81.41906257,28.61339416
1021 N PINE HILLS RD, ORLANDO, FL,32808,-81.44923108,28.55909204
10955 LAKE UNDERHILL RD, ORLANDO, FL,32825,-81.2263364,28.54151494
140 S WEST AVE, MAITLAND, FL,32751,-81.37778766,28.61663926
2905 JOYANN ST, ORLANDO, FL,32810,-81.41571116,28.63865709
1316 KIRK ST, ORLANDO, FL,32808,-81.46566156,28.55709152
10012 PORTALE AVE, ORLANDO, FL,32825,-81.24402562,28.56215641
636 N WYMORE RD, WINTER PARK, FL,32789,-81.38514139,28.60417809
824 PAUL ST, ORLANDO, FL,32808,-81.46462919,28.55330315
8117 GOLDEN CHICKASAW CIR, ORLANDO, FL,32825,-81.27639667,28.56145535
1851 GOODRICH AVE, WINTER PARK, FL,32789,-81.32871091,28.59891994
5415 OLD OAK TREE DR, ORLANDO, FL,32808,-81.44109361,28.61112687
10309 BRIDLEWOOD AVE, ORLANDO, FL,32825,-81.239524,28.55465193
877 N HASTINGS ST, ORLANDO, FL,32808,-81.45930964,28.5539384
236 N SWOOPE AVE, MAITLAND, FL,32751,-81.36181786,28.62864233
341 N ORLANDO AVE, MAITLAND, FL,32751,-81.36370559,28.62964912
1300 W MAITLAND BLVD, MAITLAND, FL,32751,-81.37793914,28.63091326
6803 OLD HWY 441, MOUNT DORA, FL,32757,-81.6310846,28.78215342
7228 EARLWOOD AVE, MOUNT DORA, FL,32757,-81.62988535,28.76308231
338 E LYMAN AVE, WINTER PARK, FL,32789,-81.34731552,28.59497113
225 S INTERLACHEN AVE, WINTER PARK, FL,32789,-81.34869865,28.59658084
1199 CLAY ST, WINTER PARK, FL,32789,-81.37327556,28.58773167
420 N ORLANDO AVE, WINTER PARK, FL,32789,-81.36507202,28.60231162
315 HOLT AVE, WINTER PARK, FL,32789,-81.35290092,28.59231394
6826 GOLDENEYE DR, ORLANDO, FL,32810,-81.47457779,28.62312334
125 N INTERLACHEN AVE, WINTER PARK, FL,32789,-81.34873163,28.59805673
1749 BRANCHWATER TRL, ORLANDO, FL,32825,-81.22744518,28.51919863
1776 MINNESOTA AVE, WINTER PARK, FL,32789,-81.37289867,28.58942735
1003 S KIRKMAN RD, ORLANDO, FL,32811,-81.45908669,28.52924964
5115 LONDONDERRY BLVD, ORLANDO, FL,32808,-81.44835637,28.58597752
1715 LAKE PICKETT RD, ORLANDO, FL,32826,-81.18226843,28.56575549
2949 SCARLET RD, WINTER PARK, FL,32792,-81.30954065,28.59720994
1819 WILLIAMS MANOR AVE, ORLANDO, FL,32811,-81.42864001,28.52218731
5800 GOLF CLUB PKWY, ORLANDO, FL,32808,-81.45772951,28.57255607
9145 N NARCOOSSEE RD, ORLANDO, FL,32827,-81.25686366,28.43442347
2803 WILL O TH GREEN, WINTER PARK, FL,32792,-81.31327291,28.59500942
667 PALMERA ST, ORLANDO, FL,32811,-81.44703234,28.53320442
1442 N PINE HILLS RD, ORLANDO, FL,32808,-81.45153339,28.57634206
9915 VICKERY PL, ORLANDO, FL,32827,-81.24588634,28.38626799
1001 S SEMORAN BLVD, WINTER PARK, FL,32792,-81.30722696,28.58188016
4075 L B MCLEOD RD, ORLANDO, FL,32811,-81.42739052,28.50881051
1400 JORDAN AVE, ORLANDO, FL,32809,-81.39662012,28.45935655
9618 LAKE NONA VILLAGE PL, ORLANDO, FL,32827,-81.25506029,28.42662728
823 S SEMORAN BLVD, WINTER PARK, FL,32792,-81.30680987,28.58618172
121 N PINE HILLS RD, ORLANDO, FL,32811,-81.4475168,28.54359647
6229 WINEGARD RD, ORLANDO, FL,32809,-81.38422722,28.46730323
2835 BONGART RD, WINTER PARK, FL,32792,-81.31188861,28.60531786
4527 CARTER ST, ORLANDO, FL,32811,-81.43748673,28.53440811
430 W LANCASTER RD, ORLANDO, FL,32809,-81.3825703,28.46535272
3625 AVALON PARK W BLVD, ORLANDO, FL,32828,-81.15596069,28.51209533
7507 ALOMA AVE, WINTER PARK, FL,32792,-81.28643501,28.6098625
925 S IVEY LN, ORLANDO, FL,32811,-81.43426716,28.52962692
2500 W OAK RIDGE RD, ORLANDO, FL,32809,-81.4120822,28.47233738
2876 S ALAFAYA TRL, ORLANDO, FL,32828,-81.18292571,28.51118784
2095 DUNDEE DR, WINTER PARK, FL,32792,-81.32505001,28.59442321
821 S KIRKMAN RD, ORLANDO, FL,32811,-81.45907712,28.53169643
426 W LANCASTER RD, ORLANDO, FL,32809,-81.38240162,28.46535338
1537 S ALAFAYA TRL, ORLANDO, FL,32828,-81.20130083,28.52497483
207 W LANCASTER RD, ORLANDO, FL,32809,-81.37856533,28.46550337
12881 TANJA KING BLVD, ORLANDO, FL,32828,-81.15636151,28.51290346
4015 W OAK RIDGE RD, ORLANDO, FL,32809,-81.42650197,28.47232597
450 W WELBOURNE AVE, WINTER PARK, FL,32789,-81.35516768,28.59666743
741 S PENNSYLVANIA AVE, WINTER PARK, FL,32789,-81.35682072,28.5916228
5025 OLD HOWELL BRANCH RD, WINTER PARK, FL,32792,-81.28236737,28.61158073
1902 TAYLOR AVE, WINTER PARK, FL,32792,-81.32726451,28.60395335
823 S SEMORAN BLVD, WINTER PARK, FL,32792,-81.30680987,28.58618172
4035 N GOLDENROD RD, WINTER PARK, FL,32792,-81.28644246,28.5974892
3001 N GOLDENROD RD, WINTER PARK, FL,32792,-81.28614967,28.58299894
813 N LAKEMONT AVE, WINTER PARK, FL,32792,-81.32817967,28.60550836
3377 ALOMA AVE, WINTER PARK, FL,32792,-81.30320498,28.60554407
106 E CHURCH ST, ORLANDO, FL,32801,-81.37629121,28.540325
401 MARK TWAIN BLVD, ORLANDO, FL,32828,-81.20092242,28.53938921
42 E JACKSON ST, ORLANDO, FL,32801,-81.37826393,28.53897336
900 W LANCASTER RD, ORLANDO, FL,32809,-81.39011385,28.46528041
357 AVALON PARK BLVD, ORLANDO, FL,32828,-81.15212146,28.54116917
2310 E CONCORD ST, ORLANDO, FL,32803,-81.35293502,28.55130487
623 W LANCASTER RD, ORLANDO, FL,32809,-81.38434655,28.46544997
2800 S ALAFAYA TRL, ORLANDO, FL,32828,-81.18359759,28.51146426
1187 FLORIDA MALL AVE, ORLANDO, FL,32809,-81.39731796,28.44857738
570 N ALAFAYA TRL, ORLANDO, FL,32828,-81.20753471,28.5653491
407 N HYER AVE, ORLANDO, FL,32803,-81.36639817,28.5486327
1118 W OAK RIDGE RD, ORLANDO, FL,32809,-81.39494807,28.47253672
13825 TOWNSEND DR, ORLANDO, FL,32828,-81.1818174,28.51128232
2600 E JACKSON ST, ORLANDO, FL,32803,-81.34971603,28.53954993
731 FAIRLANE AVE, ORLANDO, FL,32809,-81.36828853,28.47216745
839 GOLDEN POND CT, ORLANDO, FL,32828,-81.17957261,28.54556983
777 E PRINCETON ST, ORLANDO, FL,32803,-81.36827134,28.57168497
5607 HANSEL AVE, ORLANDO, FL,32809,-81.36797552,28.4764778
1331 S ALAFAYA TRL, ORLANDO, FL,32828,-81.20151999,28.52502731
505 E RIDGEWOOD ST, ORLANDO, FL,32803,-81.37149142,28.54671095
6225 BROOKGREEN AVE, ORLANDO, FL,32809,-81.43103516,28.4669165
12800 WATERFORD LAKES PKWY, ORLANDO, FL,32828,-81.20639279,28.55761188
2800 N ORANGE AVE, ORLANDO, FL,32804,-81.37301965,28.57669712
6316 MATCHETT RD, ORLANDO, FL,32809,-81.36298206,28.46900928
1300 EDGEWATER DR, ORLANDO, FL,32804,-81.38939312,28.56302795
7641 MAGNOLIA HOMES RD, ORLANDO, FL,32810,-81.42737523,28.62614241
5744 CROWNTREE LN, ORLANDO, FL,32829,-81.24957426,28.47920396
5763 GRAND CANYON DR, ORLANDO, FL,32810,-81.45868834,28.61780435
400 S LAKEMONT AVE, WINTER PARK, FL,32792,-81.32778386,28.59351773
3109 UNION ST, ZELLWOOD, FL,32798,-81.60119113,28.72884774
101 N PARRAMORE AVE, ORLANDO, FL,32801,-81.38900166,28.54391195
18 N TERRY AVE, ORLANDO, FL,32801,-81.38706965,28.54261844
626 LAKE DOT CIR, ORLANDO, FL,32801,-81.38744219,28.55138368
309 E COLONIAL DR, ORLANDO, FL,32801,-81.37361953,28.55318195
424 RUTH LN, ORLANDO, FL,32801,-81.37495578,28.54802305
1862 E WINTER PARK RD, WINTER PARK, FL,32789,-81.34621842,28.58050818
319 S LAKEWOOD DR, ORLANDO, FL,32803,-81.3450895,28.53946385
2618 E ROBINSON ST, ORLANDO, FL,32803,-81.34963036,28.54589965
4005 EDGEWATER DR, ORLANDO, FL,32804,-81.39393256,28.58971156
6537 VISTA PARK BLVD, ORLANDO, FL,32829,-81.26558799,28.46766916
2499 N WESTMORELAND DR, ORLANDO, FL,32804,-81.39353744,28.57382133
4300 CLARCONA OCOEE RD, ORLANDO, FL,32810,-81.4323915,28.61261602
8712 LEE VISTA BLVD, ORLANDO, FL,32829,-81.26565662,28.47002127
1914 EDGEWATER DR, ORLANDO, FL,32804,-81.38947231,28.56893648
6214 FOREST CITY RD, ORLANDO, FL,32810,-81.41503466,28.61345448
2800 VISTA BLVD, ORLANDO, FL,32830,-81.53265707,28.39089826
1039 W FAIRBANKS AVE, ORLANDO, FL,32804,-81.39473903,28.5965817
731 ALFRED DR, ORLANDO, FL,32810,-81.39003339,28.61114581
10275 SAVANNAH PARK DR, ORLANDO, FL,32832,-81.24097742,28.41935195
1002 CARTER ST, ORLANDO, FL,32805,-81.39327706,28.53465336
433 W KENNEDY BLVD, ORLANDO, FL,32810,-81.39360212,28.618564
11700 DEER PATH WAY, ORLANDO, FL,32832,-81.20530239,28.41889715
440 N TAMPA AVE, ORLANDO, FL,32805,-81.40567856,28.54830905
2650 PEMBROOK DR, ORLANDO, FL,32810,-81.41392691,28.63271373
9830 MERE PKWY, ORLANDO, FL,32832,-81.23745289,28.35991609
644 FERGUSON DR, ORLANDO, FL,32805,-81.42013711,28.55119143
6924 FOREST CITY RD, ORLANDO, FL,32810,-81.41511243,28.62001461
1815 W WASHINGTON ST, ORLANDO, FL,32805,-81.40369735,28.544257
5554 CLARCONA OCOEE RD, ORLANDO, FL,32810,-81.46511106,28.61069065
11101 MOSS PARK RD, ORLANDO, FL,32832,-81.22279701,28.41467198
647 INDIANA ST, ORLANDO, FL,32805,-81.38770837,28.52567716
7301 EDGEWATER DR, ORLANDO, FL,32810,-81.43971687,28.62274629
10743 NARCOOSSEE RD, ORLANDO, FL,32832,-81.2431538,28.40923566
725 S GOLDWYN AVE, ORLANDO, FL,32805,-81.41789166,28.53233136
5413 EDGEWATER DR, ORLANDO, FL,32810,-81.41126059,28.60715215
7325 CONROY WINDERMERE RD, ORLANDO, FL,32835,-81.48024857,28.49370997
4093 COLUMBIA ST, ORLANDO, FL,32811,-81.42798156,28.52702394
1100 N FERNCREEK AVE, ORLANDO, FL,32803,-81.36047521,28.5598769
200 E EVANS ST, ORLANDO, FL,32804,-81.37437664,28.57752935
2208 N RIO GRANDE AVE, ORLANDO, FL,32804,-81.40183824,28.57111824
644 W PRINCETON ST, ORLANDO, FL,32804,-81.38804145,28.57110518
3760 N JOHN YOUNG PKWY, ORLANDO, FL,32804,-81.41681876,28.58381621
2828 EDGEWATER DR, ORLANDO, FL,32804,-81.38959563,28.57714106
2138 W COLONIAL DR, ORLANDO, FL,32804,-81.40850578,28.55267346
2514 W COLONIAL DR, ORLANDO, FL,32804,-81.4081947,28.55267596
30 E EVANS ST, ORLANDO, FL,32804,-81.37817844,28.57752035
4501 GODDARD AVE, ORLANDO, FL,32804,-81.40197077,28.60025684
7209 TALLOWTREE LN, ORLANDO, FL,32835,-81.47976819,28.54441595
5143 OLD WINTER GARDEN RD, ORLANDO, FL,32811,-81.44835266,28.54130093
6549 OLD WINTER GARDEN RD, ORLANDO, FL,32835,-81.47190884,28.53873987
2173 LISTON CT, ORLANDO, FL,32811,-81.42741256,28.517552
6965 PIAZZA GRANDE AVE, ORLANDO, FL,32835,-81.48248869,28.5164843
4110 RALEIGH ST, ORLANDO, FL,32811,-81.42843501,28.52784937
6558 OLD WINTER GARDEN RD, ORLANDO, FL,32835,-81.47206283,28.5386423
4123 COLUMBIA ST, ORLANDO, FL,32811,-81.42888034,28.52702315
6573 OLD WINTER GARDEN RD, ORLANDO, FL,32835,-81.47235654,28.53878894
4674 BARLEY ST, ORLANDO, FL,32811,-81.43989505,28.54030404
6261 OLD WINTER GARDEN RD, ORLANDO, FL,32835,-81.46705864,28.53819994
933 S IVEY LN, ORLANDO, FL,32811,-81.43426716,28.52958044
7621 TELEGRAPH HILL RD, ORLANDO, FL,32835,-81.48649215,28.53618996
5200 W SOUTH ST, ORLANDO, FL,32811,-81.44854853,28.53770157
6395 RALEIGH ST, ORLANDO, FL,32835,-81.47005623,28.52699275
217 N KIRKMAN RD, ORLANDO, FL,32811,-81.45816271,28.54425485
11508 S APOPKA VINELAND RD, ORLANDO, FL,32836,-81.50396475,28.39805187
201 N KIRKMAN RD, ORLANDO, FL,32811,-81.45815435,28.54411177
5399 ROSEGAY CT, ORLANDO, FL,32811,-81.45109155,28.52497189
1515 EDGEWATER DR, ORLANDO, FL,32804,-81.38929442,28.56533696
1408 W MICHIGAN ST, ORLANDO, FL,32805,-81.39926345,28.51447537
3195 W CENTRAL BLVD, ORLANDO, FL,32805,-81.41790063,28.54184195
16 S DOLLINS AVE, ORLANDO, FL,32805,-81.40764293,28.54175469
1401 NIEUPORT LN, ORLANDO, FL,32805,-81.39185468,28.52492261
2610 ORANGE CENTER BLVD, ORLANDO, FL,32805,-81.41188699,28.53190649
1235 W MICHIGAN ST, ORLANDO, FL,32805,-81.39566171,28.51465131
1720 S RIO GRANDE AVE, ORLANDO, FL,32805,-81.4012641,28.52319879
701 W LIVINGSTON ST, ORLANDO, FL,32805,-81.38918129,28.54758424
944 W LAKE MANN DR, ORLANDO, FL,32805,-81.42312952,28.53220333
12355 S JOHN YOUNG PKWY, ORLANDO, FL,32837,-81.42503615,28.38277754
216 N IVEY LN, ORLANDO, FL,32811,-81.4345416,28.54376354
2000 FALCON TRACE BLVD, ORLANDO, FL,32837,-81.4042655,28.362067
5135 CURRY FORD RD, ORLANDO, FL,32812,-81.32221784,28.52439152
12908 S ORANGE BLOSSOM TRL, ORLANDO, FL,32837,-81.40465141,28.37714491
3636 E MICHIGAN ST, ORLANDO, FL,32812,-81.33838326,28.51321861
4113 HUNTERS PARK LN, ORLANDO, FL,32837,-81.42757112,28.36761123
1200 GASTON FOSTER RD, ORLANDO, FL,32812,-81.32499651,28.53027798
3215 S CONWAY RD, ORLANDO, FL,32812,-81.33075223,28.50405484
10249 S JOHN YOUNG PKWY, ORLANDO, FL,32837,-81.42263024,28.4167814
4709 CURRY FORD RD, ORLANDO, FL,32812,-81.32761098,28.52435582
10936 S TRAIL CIR, ORLANDO, FL,32837,-81.40564809,28.40880212
5495 LAKE MARGARET DR, ORLANDO, FL,32812,-81.31453609,28.50621884
14524 GATORLAND DR, ORLANDO, FL,32837,-81.40541228,28.35688168
5008 KEMPSTON DR, ORLANDO, FL,32812,-81.31585187,28.48227325
11189 S ORANGE BLOSSOM TRL, ORLANDO, FL,32837,-81.40445182,28.40365962
3300 S CONWAY RD, ORLANDO, FL,32812,-81.3310146,28.50323437
12601 BALCOMBE RD, ORLANDO, FL,32837,-81.39863059,28.38428024
1700 FIREHOUSE LN, ORLANDO, FL,32814,-81.33055101,28.56715999
2122 LONG ST, ORLANDO, FL,32805,-81.40771963,28.53549679
2622 S FERNCREEK AVE, ORLANDO, FL,32806,-81.3599181,28.51364364
3839 S FERNCREEK AVE, ORLANDO, FL,32806,-81.35969651,28.50166414
901 S BUMBY AVE, ORLANDO, FL,32806,-81.35168698,28.53134199
2517 CURRY FORD RD, ORLANDO, FL,32806,-81.35001913,28.52416596
2856 CURRY FORD RD, ORLANDO, FL,32806,-81.34654417,28.52408065
1616 CONWAY GARDENS RD, ORLANDO, FL,32806,-81.33934411,28.52092608
7651 VALENCIA COLLEGE LN, ORLANDO, FL,32807,-81.28390748,28.55379395
940 S SEMORAN BLVD, ORLANDO, FL,32807,-81.31060401,28.53110678
2064 TROPIC BAY CT, ORLANDO, FL,32807,-81.2936313,28.57325435
2047 PROSPECT AVE, ORLANDO, FL,32814,-81.33044441,28.57039091
9367 TREVARTHON RD, ORLANDO, FL,32817,-81.25808772,28.57649273
10047 E COLONIAL DR, ORLANDO, FL,32817,-81.24390893,28.56943695
2600 N DEAN RD, ORLANDO, FL,32817,-81.24514118,28.58243614
10250 UNIVERSITY BLVD, ORLANDO, FL,32817,-81.2396421,28.59744634
1912 N DEAN RD, ORLANDO, FL,32817,-81.24498817,28.57138397
7453 W COLONIAL DR, ORLANDO, FL,32818,-81.48346447,28.5521519
7429 W COLONIAL DR, ORLANDO, FL,32818,-81.48311378,28.55215425
6651 CURTIS ST, ORLANDO, FL,32807,-81.29657644,28.55914895
60 RANDIA DR, ORLANDO, FL,32807,-81.30014198,28.5477723
1840 N GOLDENROD RD, ORLANDO, FL,32807,-81.28629196,28.57246957
445 GASTON FOSTER RD, ORLANDO, FL,32807,-81.32494352,28.53748895
1295 N SEMORAN BLVD, ORLANDO, FL,32807,-81.3107126,28.5631772
1089 N GOLDENROD RD, ORLANDO, FL,32807,-81.28591466,28.5585157
26 WILLOW DR, ORLANDO, FL,32807,-81.30573799,28.54528948
5600 OLD CHENEY HWY, ORLANDO, FL,32807,-81.31215282,28.56139909
2042 N FORSYTH RD, ORLANDO, FL,32807,-81.29451153,28.57374617
1515 S SEMORAN BLVD, ORLANDO, FL,32807,-81.31026082,28.52474816
8001 E SILVER STAR RD, ORLANDO, FL,32818,-81.4912326,28.57766195
6837 W COLONIAL DR, ORLANDO, FL,32818,-81.47451587,28.55221632
8550 CLARCONA OCOEE RD, ORLANDO, FL,32818,-81.50225839,28.61241779
3311 N POWERS DR, ORLANDO, FL,32818,-81.46774148,28.58529001
5268 MACADAMIA CT, ORLANDO, FL,32818,-81.48282931,28.60752187
6700 SILVER STAR RD, ORLANDO, FL,32818,-81.47317241,28.57726338
609 N POWERS DR, ORLANDO, FL,32818,-81.46757933,28.55097613
6837 LAKEVILLE RD, APOPKA, FL,32703,-81.48024484,28.63255878
8640 PARK HIGHLAND DR, ORLANDO, FL,32818,-81.50236209,28.56599767
2008 N GOLDENROD RD, ORLANDO, FL,32807,-81.28633164,28.57425821
4680 LAKE UNDERHILL RD, ORLANDO, FL,32807,-81.32852783,28.53757955
1412 N PINE HILLS RD, ORLANDO, FL,32808,-81.4522377,28.57364867
1213 N PINE HILLS RD, ORLANDO, FL,32808,-81.45022936,28.56389979
1048 N PINE HILLS RD, ORLANDO, FL,32808,-81.44970311,28.55980374
615 N PINE HILLS RD, ORLANDO, FL,32808,-81.44742989,28.54936322
724 N HASTINGS ST, ORLANDO, FL,32808,-81.45943351,28.55332038
4955 ROSE AVE, ORLANDO, FL,32808,-81.44353327,28.61121377
3423 N PINE HILLS RD, ORLANDO, FL,32808,-81.45122216,28.58629163
